Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,longName,sector,industry,country,marketCap,beta,trailingPE,forwardPE,dividendYield,returnOnEquity,trailingEps,totalRevenue
2020-12-28 00:00:00-05:00,130.70750227088905,133.97542463818004,130.23925065126556,133.3413543701172,124486200,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-12-29 00:00:00-05:00,134.66800569567732,135.38986738995195,131.04888802650385,131.56590270996094,121047300,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-12-30 00:00:00-05:00,132.2585874840615,132.6585469506608,130.13198498932488,130.44415283203125,96452100,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-12-31 00:00:00-05:00,130.79529332577445,131.4391281363561,128.4931083029186,129.43934631347656,99116600,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2021-01-04 00:00:00-05:00,130.24901359048766,130.33680518621807,123.65461887853952,126.23970031738281,143301900,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2021-01-05 00:00:00-05:00,125.73246220889868,128.51264908454692,125.28372470373122,127.80052185058594,97664900,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2021-01-06 00:00:00-05:00,124.59108453530528,127.8395071446875,123.28390832194798,123.49851989746094,155088000,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2021-01-07 00:00:00-05:00,125.21539510538169,128.40528973786473,124.72764426980214,127.71267700195312,109578200,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2021-01-08 00:00:00-05:00,129.18568296556424,129.38079521351278,127.03958220290218,128.81500244140625,105158200,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2021-01-11 00:00:00-05:00,126.0250981630937,126.9810858976596,125.35199944208054,125.82023620605469,100384500,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
